عنوان,نوع معامله,محله,متراژ,سال ساخت,تعداد اتاق,قیمت کل,قیمت هر متر,طبقه,تاریخ انتشار,لینک
فروش واحد ۱۷۵متری در شقایق,فروش,مهرگان,۱۷۵,۱۴۰۵,۳,"‏۲۶,۲۵۰,۰۰۰,۰۰۰ تومان","‏۱۵۰,۰۰۰,۰۰۰ تومان",۲ از ۵,۲۴ مرداد ۱۴۰۵، ۱۱:۱۰,https://divar.ir/v/gaAeRnV1
فروش  زمین باغی در لاهیجان,فروش,لیالستان,,,,"‏۱۴,۰۰۰,۰۰۰,۰۰۰ تومان","‏۲۰,۰۰۰,۰۰۰ تومان",,۲۴ مرداد ۱۴۰۵، ۱۱:۰۸,https://divar.ir/v/gaAax6GA
فروش زمین مسکونی در لاشیدان جنب کمربندی لاهیجان,فروش,بازکیاگوراب,,,,"‏۴,۲۰۰,۰۰۰,۰۰۰ تومان","‏۱۵,۰۰۰,۰۰۰ تومان",,۲۳ مرداد ۱۴۰۵، ۱۷:۴۷,https://divar.ir/v/ga_NCZxE
آپارتمان 90 متری _ فول امکانات _ ویو بی نظیر,فروش,شقایق,۹۰,۱۴۰۴,۲,"‏۸,۰۰۰,۰۰۰,۰۰۰ تومان","‏۸۸,۸۸۸,۰۰۰ تومان",۴ از ۶,۱۸ مرداد ۱۴۰۵، ۰۹:۵۴,https://divar.ir/v/ga4xR26T
فروش زمین مسکونی لیالستان_قصاب محله,فروش,لیالستان,,,,"‏۹,۵۰۰,۰۰۰,۰۰۰ تومان","‏۱۸,۰۲۶,۰۰۰ تومان",,۱۴ مرداد ۱۴۰۵، ۱۰:۵۸,https://divar.ir/v/gayVu-V-
لاهیجان،رهن اجاره آپارتمان مستقل 80 متری گلستان,رهن و اجاره,گلستان,۸۰,۱۳۹۰,۲,,,۲ از ۴,۲۴ مرداد ۱۴۰۵، ۱۰:۳۸,https://divar.ir/v/gaAChDZd
ویلا دوبلکس ۱۸۰ متر در لاهیجان,فروش,آهندان,۱۸۰,۱۴۰۵,۲,"‏۱۸,۰۰۰,۰۰۰,۰۰۰ تومان","‏۲۷,۵۶۵,۰۰۰ تومان",,۲۶ تیر ۱۴۰۵، ۱۰:۳۱,https://divar.ir/v/gaZNtKd1
اجاره آپارتمان تکواحدی دو خوابه در ازادگان,رهن و اجاره,کوی آزادگان,۱۲۵,۱۴۰۰,۲,,,۲ از ۲,۱۸ مرداد ۱۴۰۵، ۲۰:۴۱,https://divar.ir/v/ga4R7aoz
۲۵۰ متر زمین تجاری مسکونی کمربندی بیجاربنه,فروش,لیالستان,,,,"‏۵,۵۰۰,۰۰۰,۰۰۰ تومان","‏۲۲,۰۰۰,۰۰۰ تومان",,۲۴ مرداد ۱۴۰۵، ۱۰:۳۳,https://divar.ir/v/gaA6w-X3
زمین باکاربری اداری ومسکونی,فروش,آهندان,,,,"‏۲,۷۵۰,۰۰۰,۰۰۰ تومان","‏۱۰,۰۷۳,۰۰۰ تومان",,۲۴ مرداد ۱۴۰۵، ۱۰:۳۱,https://divar.ir/v/gaA6Qppf
۲۰۰ زمین داخل طرح هادی آزارستانکی,فروش,آهندان,,,,"‏۱,۷۸۰,۰۰۰,۰۰۰ تومان","‏۸,۹۰۰,۰۰۰ تومان",,۲۴ مرداد ۱۴۰۵، ۱۰:۳۰,https://divar.ir/v/ga89ok8d
زمین مسکونی ۲۵۰ متر گلرودبار,فروش,بازکیاگوراب,,,,"‏۳,۰۰۰,۰۰۰,۰۰۰ تومان","‏۱۲,۰۰۰,۰۰۰ تومان",,۱۷ مرداد ۱۴۰۵، ۱۷:۵۰,https://divar.ir/v/ga3lDOia
واحد مستقل دارای پارکینگ مستقل لاهیجان,فروش,لیالستان,۸۵,۱۴۰۰,۲,"‏۷,۱۰۰,۰۰۰,۰۰۰ تومان","‏۵۴,۶۱۵,۰۰۰ تومان",,۱۷ مرداد ۱۴۰۵، ۱۰:۴۵,https://divar.ir/v/ga2ddMoC
فروش واحد ویلایی لاهیجان,فروش,حاجی آباد,۲۵۰,۱۴۰۴,+۴,"‏۸۰,۰۰۰,۰۰۰,۰۰۰ تومان","‏۱۱۴,۲۸۵,۰۰۰ تومان",,۱۷ مرداد ۱۴۰۵، ۱۱:۰۸,https://divar.ir/v/ga2xdvFA
نقلی ۶۵ متر_ دو خواب_ فول امکانات_ ویودار - سعدی,فروش,کوه بیجار,۶۵,۱۳۹۱,۲,"‏۹,۹۰۰,۰۰۰,۰۰۰ تومان","‏۱۵۲,۳۰۷,۰۰۰ تومان",۱,۱۷ مرداد ۱۴۰۵، ۰۸:۳۶,https://divar.ir/v/ga29Qm3r
شمال. سیاهکل زمین مسکونی متری ۵ میلیون,فروش,لفمجان,,,,"‏۱,۰۰۰,۰۰۰,۰۰۰ تومان","‏۵,۰۰۰,۰۰۰ تومان",,۲۶ تیر ۱۴۰۵، ۱۷:۰۲,https://divar.ir/v/gaa5CtC8
فروش زمین روستای مسکونی در روستای انارستان,فروش,بازکیاگوراب,,,,"‏۳,۵۰۰,۰۰۰,۰۰۰ تومان","‏۱۰,۰۰۰,۰۰۰ تومان",,۲۹ تیر ۱۴۰۵، ۱۸:۱۵,https://divar.ir/v/gaeRjRZU
اجاره واحد مستقل 100متری,رهن و اجاره,آهندان,۱۰۰,۱۳۹۵,۲,,,۱,۲۰ مرداد ۱۴۰۵، ۰۹:۵۲,https://divar.ir/v/ga69bfQw
فروش آپارتمان ۸۰متری درلاهیجان خیابان حزین,فروش,شقایق,۸۰,۱۳۸۹,۲,"‏۷,۲۰۰,۰۰۰,۰۰۰ تومان","‏۹۰,۰۰۰,۰۰۰ تومان",۳ از ۶,۲۴ مرداد ۱۴۰۵، ۰۹:۴۸,https://divar.ir/v/gaASANLB
فروش ۳باب مغازه بصورت یکجا مناسب کارگاه,فروش,یوسف آباد,۱۰۴,۱۳۹۸,بدون اتاق,"‏۱۷,۰۰۰,۰۰۰,۰۰۰ تومان","‏۱۶۳,۴۶۱,۰۰۰ تومان",,۲۴ مرداد ۱۴۰۵، ۰۹:۳۹,https://divar.ir/v/gaAKAZOK
فروش ویلای نیمه کاره لاهیجان ویو ابدی,فروش,لیل,۳۴۰,۱۴۰۵,۳,"‏۲۶,۰۰۰,۰۰۰,۰۰۰ تومان","‏۱۰۸,۳۳۳,۰۰۰ تومان",,۱۷ مرداد ۱۴۰۵، ۱۶:۲۹,https://divar.ir/v/ga3diWP1
فروش خانه ویلایی,فروش,انقلاب,۹۰,قبل از ۱۳۷۰,۲,"‏۱۴,۰۰۰,۰۰۰,۰۰۰ تومان","‏۶۶,۹۸۵,۰۰۰ تومان",,۲۴ مرداد ۱۴۰۵، ۰۸:۳۱,https://divar.ir/v/ga_Jva9C
ویلای 450متری در کتشال,فروش,لیل,۲۸۰,۱۴۰۵,۳,"‏۳۳,۰۰۰,۰۰۰,۰۰۰ تومان","‏۷۳,۳۳۳,۰۰۰ تومان",,۲۴ مرداد ۱۴۰۵، ۰۸:۲۶,https://divar.ir/v/ga_F_WFY
اجاره مغازه لاهیجان نزدیک میدان گلستان,رهن و اجاره,گلستان,۱۶,۱۳۹۶,بدون اتاق,,,,۲۴ مرداد ۱۴۰۵، ۰۸:۱۸,https://divar.ir/v/ga_5e7hF
بهترین فرصت خرید قبل از افزایش قیمت ها,فروش,لیل,,,,,,,۲۴ مرداد ۱۴۰۵، ۰۱:۵۰,https://divar.ir/v/ga_RJbU6
رهن آپارتمان نوساز واقع در گلستان ۱۷,رهن کامل,گلستان,۸۷,۱۴۰۵,۲,,,۳,۲۴ مرداد ۱۴۰۵، ۰۰:۴۸,https://divar.ir/v/ga_ZYNm5
زمین,فروش,بازکیاگوراب,,,,"‏۱۰۰,۰۰۰,۰۰۰,۰۰۰ تومان","‏۷,۶۹۲,۰۰۰ تومان",,۲۴ مرداد ۱۴۰۵، ۰۰:۳۵,https://divar.ir/v/ga_NIIxw
زمین مسکونی,فروش,لیل,,,,"‏۳,۰۰۰,۰۰۰,۰۰۰ تومان","‏۱۵,۰۰۰,۰۰۰ تومان",,۲۴ مرداد ۱۴۰۵، ۰۰:۳۱,https://divar.ir/v/ga_JICCC
فروش زمین مسکونی ،باغی،شالیزار با ویو ابدی,فروش,لیل,,,,"‏۱۱۹,۰۰۰,۰۰۰,۰۰۰ تومان","‏۱۹,۴۰۰,۰۰۰ تومان",,۲۴ مرداد ۱۴۰۵، ۰۰:۲۶,https://divar.ir/v/ga_B48Bz
فروش مغازه ۶۶متری با مالکیت، منطقه ی برند,فروش,کوی خزر,۶۶,۱۳۹۶,۱,"‏۲۳,۰۰۰,۰۰۰,۰۰۰ تومان","‏۳۴۸,۴۸۴,۰۰۰ تومان",,۲۳ مرداد ۱۴۰۵، ۲۲:۲۷,https://divar.ir/v/ga_R2yQ8
ویلای دنج با ویو ابدی,فروش,لفمجان,۱۴۲,۱۳۹۸,۲,"‏۱۵,۰۰۰,۰۰۰,۰۰۰ تومان","‏۲۴,۰۰۰,۰۰۰ تومان",,۲۳ مرداد ۱۴۰۵، ۲۲:۱۲,https://divar.ir/v/ga_F2K8o
فروش زمین مسکونی و باغی در منطقه توریستی زمیدان,فروش,لیل,,,,"‏۸,۸۰۰,۰۰۰,۰۰۰ تومان","‏۱۳,۵۳۸,۰۰۰ تومان",,۲۳ مرداد ۱۴۰۵، ۲۲:۰۸,https://divar.ir/v/ga_BGdGW
ماشین میدم خونه اجاره میکنم,رهن و اجاره,لیل,۶۰,۱۳۹۵,۱,,,,۲۳ مرداد ۱۴۰۵، ۲۱:۵۲,https://divar.ir/v/ga_xV1GN
فروش زمین,فروش,لاشیدان,,,,"‏۳,۵۴۰,۰۰۰,۰۰۰ تومان","‏۱۵,۰۰۰,۰۰۰ تومان",,۲۳ مرداد ۱۴۰۵، ۲۱:۳۱,https://divar.ir/v/ga_d12M7
آپارتمان۱۰۰متری_ ۲طبقه دو واحد_گلستان ۳۱_۱,فروش,گلستان,۱۰۰,۱۳۹۵,۲,"‏۱۰,۵۰۰,۰۰۰,۰۰۰ تومان","‏۱۰۵,۰۰۰,۰۰۰ تومان",۲ از ۲,۱۶ مرداد ۱۴۰۵، ۲۰:۴۷,https://divar.ir/v/gazJ3Xbn
فروش زمین,فروش,آهندان,,,,"‏۳,۰۰۰,۰۰۰,۰۰۰ تومان","‏۱۱,۹۰۴,۰۰۰ تومان",,۲۳ مرداد ۱۴۰۵، ۲۱:۰۳,https://divar.ir/v/ga_BVvBw
فروش زمین,فروش,لیل,,,,"‏۴,۸۰۰,۰۰۰,۰۰۰ تومان","‏۱۲,۰۰۰,۰۰۰ تومان",,۲۳ مرداد ۱۴۰۵، ۲۱:۰۲,https://divar.ir/v/ga_9Us3C
اجاره مغازه,رهن و اجاره,کوی آزادگان,۳۰,۱۴۰۱,۱,,,,۲۳ مرداد ۱۴۰۵، ۲۰:۴۳,https://divar.ir/v/ga_xU0Go
اجاره اتاق در مرکز تخصصی مشاوره خانواده,رهن و اجاره,کاروانسرابر,۶۸,۱۳۹۵,۳,,,۳,۱۶ مرداد ۱۴۰۵، ۰۴:۳۹,https://divar.ir/v/ga1BTL5m
فروش زمین,فروش,لاشیدان,,,,"‏۳,۵۴۰,۰۰۰,۰۰۰ تومان","‏۱۵,۰۰۰,۰۰۰ تومان",,۲۳ مرداد ۱۴۰۵، ۱۹:۵۶,https://divar.ir/v/ga_F0xN1
20 متر مغازه نوساز بر اصلی خیابان خزر,رهن و اجاره,کوی خزر,۲۰,۱۴۰۵,بدون اتاق,,,,۲۳ مرداد ۱۴۰۵، ۱۹:۴۴,https://divar.ir/v/ga_5j3B_
اجاره مغازه ، کاشف غربی,رهن و اجاره,پردسر,۳۱,۱۳۹۰,بدون اتاق,,,,۱۸ مرداد ۱۴۰۵، ۱۷:۱۴,https://divar.ir/v/ga4NYRTu
ویلا ۲۰۰ متری ،سند تک برگ ،زمین ۱۰۰۰ متری,فروش,بازکیاگوراب,۲۰۰,۱۴۰۵,۳,"‏۳۰,۰۰۰,۰۰۰,۰۰۰ تومان","‏۳۰,۰۰۰,۰۰۰ تومان",,۲۳ مرداد ۱۴۰۵، ۱۸:۴۴,https://divar.ir/v/ga_9iqmT
باغ‌ ویلا کم‌نظیر خاص 11000متری_ ویو ابدی کوهستان,فروش,آهندان,,,,"‏۳۵,۶۰۰,۰۰۰,۰۰۰ تومان","‏۳,۲۳۶,۰۰۰ تومان",,۲۳ مرداد ۱۴۰۵، ۱۸:۳۹,https://divar.ir/v/ga_9SgLc
فروش زمین (جاده سیاهکل),فروش,لفمجان,,,,"‏۶,۰۰۰,۰۰۰,۰۰۰ تومان","‏۱۵,۰۰۰,۰۰۰ تومان",,۲۳ مرداد ۱۴۰۵، ۱۸:۲۹,https://divar.ir/v/ga_1yPbp
فروش فوری۳۵۰ متر زمین با ساختمان لاهیجان,فروش,بازکیاگوراب,,,,"‏۵,۷۰۰,۰۰۰,۰۰۰ تومان","‏۱۶,۲۸۵,۰۰۰ تومان",,۷ تیر ۱۴۰۵، ۲۲:۳۴,https://divar.ir/v/gaBBnEfx
زمین ۵۰۰۰ متری طلایی داخل طرح _ ۵ دقیقه تا لاهیجان,فروش,لیالستان,,,,"‏۵۰,۰۰۰,۰۰۰,۰۰۰ تومان","‏۱۰,۰۰۰,۰۰۰ تومان",,۲۶ خرداد ۱۴۰۵، ۱۵:۲۰,https://divar.ir/v/gaxgTgYA
تک‌ واحدی لوکس ۳ خواب_ ویو ابدی استخر_ بهشتی,فروش,شیشه گران,۱۳۸,۱۴۰۵,۳,"‏۲۸,۸۵۰,۰۰۰,۰۰۰ تومان","‏۲۰۹,۰۵۷,۰۰۰ تومان",۴ از ۵,۲۷ آذر ۱۴۰۴، ۱۷:۴۴,https://divar.ir/v/QaDRv5vX
زمین مسکونی 124متر_مجوز ساخت 2طبقه_سند تک‌برگ,فروش,گلستان,,,,"‏۴,۵۰۰,۰۰۰,۰۰۰ تومان","‏۳۶,۲۹۰,۰۰۰ تومان",,۲۵ تیر ۱۴۰۵، ۱۹:۴۰,https://divar.ir/v/gaZBwz8E
زمین خاص3هکتاری_ایده‌آل گردشگری_مجموعه‌های تفریحی,فروش,آهندان,,,,"‏۱۵۵,۰۰۰,۰۰۰,۰۰۰ تومان","‏۵,۰۰۰,۰۰۰ تومان",,۲۳ مرداد ۱۴۰۵، ۱۷:۲۳,https://divar.ir/v/ga_1x1Ja
۲ واحد و سوئیت مستقل_۳سندتک‌برگ_۵دقیقه تا لاهیجان,فروش,لیالستان,۱۶۰,۱۳۹۵,۲,"‏۳۰,۰۰۰,۰۰۰,۰۰۰ تومان","‏۵۸,۷۰۸,۰۰۰ تومان",,۲۳ مرداد ۱۴۰۵، ۱۷:۲۲,https://divar.ir/v/ga_1RmVF
زمین خاص یک نیم هکتاری_گردشگری_شهرک سازی_هتل,فروش,آهندان,,,,"‏۸۸,۵۰۰,۰۰۰,۰۰۰ تومان","‏۶,۱۰۳,۰۰۰ تومان",,۲۳ مرداد ۱۴۰۵، ۱۷:۲۱,https://divar.ir/v/ga_1BVoR
فروش دوبلکس بی نظیر درشیخ زاهد۱۸۰متر,فروش,شیخ زاهد,۱۸۰,۱۴۰۵,۳,"‏۳۲,۰۰۰,۰۰۰,۰۰۰ تومان","‏۱۷۷,۷۷۷,۰۰۰ تومان",۴ از ۴,۲۳ مرداد ۱۴۰۵، ۱۷:۲۰,https://divar.ir/v/ga_xh9wE
فروش زمین مسکونی و باغی   در زمیدان - گردکرف,فروش,لیل,,,,"‏۸,۸۰۰,۰۰۰,۰۰۰ تومان","‏۱۳,۵۳۸,۰۰۰ تومان",,۹ تیر ۱۴۰۵، ۱۲:۰۲,https://divar.ir/v/gaD5n8Wf
۸۲ متر مهرگان مستقل,فروش,مهرگان,۸۲,۱۳۸۵,۲,"‏۹,۷۲۰,۰۰۰,۰۰۰ تومان","‏۱۱۸,۵۳۶,۰۰۰ تومان",۲,۲۳ مرداد ۱۴۰۵، ۱۶:۴۷,https://divar.ir/v/ga_VBR17
فروش زمین لاهیجان خ سعدی  بیجار باغ مسکونی,فروش,لیل,,,,"‏۱۳,۵۰۰,۰۰۰,۰۰۰ تومان","‏۲۴,۵۴۵,۰۰۰ تومان",,۲۳ مرداد ۱۴۰۵، ۱۶:۳۲,https://divar.ir/v/ga_FBx99
زمین 180متری در آهندان,فروش,آهندان,,,,"‏۸۵۰,۰۰۰,۰۰۰ تومان","‏۴,۷۲۲,۰۰۰ تومان",,۲۳ مرداد ۱۴۰۵، ۱۶:۱۴,https://divar.ir/v/ga_1wbiA
اجاره آپارتمان,رهن و اجاره,آهندان,۸۰,۱۴۰۲,۲,,,۱,۲۳ مرداد ۱۴۰۵، ۱۵:۴۳,https://divar.ir/v/ga_VAjmg
اجاره سالیانه خانه ویلایی,رهن و اجاره,بازکیاگوراب,۷۰,۱۴۰۰,۲,,,,۱۷ مرداد ۱۴۰۵، ۲۰:۲۵,https://divar.ir/v/ga39FhTx
فروش فوری ۱۲۰ متر ۳خواب نوساز_ شیشه گران_ زیر قیمت,فروش,شیشه گران,۱۲۰,۱۴۰۵,۳,"‏۱۸,۰۰۰,۰۰۰,۰۰۰ تومان","‏۱۵۰,۰۰۰,۰۰۰ تومان",۲ از ۴,۲۳ مرداد ۱۴۰۵، ۱۵:۱۱,https://divar.ir/v/ga-5vokV
فروش زمین در روستای کوشال,فروش,لیالستان,,,,"‏۶,۰۰۰,۰۰۰,۰۰۰ تومان","‏۷,۰۵۸,۰۰۰ تومان",,۲۳ مرداد ۱۴۰۵، ۱۴:۱۸,https://divar.ir/v/ga-BvVtW
زمین باغی ۱۰۰۰ متری روستای شاده  نزدیک خیابان اصلی,فروش,لفمجان,,,,"‏۳,۹۰۰,۰۰۰,۰۰۰ تومان","‏۳,۹۰۰,۰۰۰ تومان",,۲۳ مرداد ۱۴۰۵، ۱۳:۲۸,https://divar.ir/v/ga-VO_b1
خرید زمین بدون واسطه خودم مالکم,فروش,آهندان,,,,"‏۳,۰۰۰,۰۰۰,۰۰۰ تومان","‏۱۰,۹۴۸,۰۰۰ تومان",,۲۳ مرداد ۱۴۰۵، ۱۱:۴۷,https://divar.ir/v/ga-9cDd9
زمین ۲۶۸ متری در صومعه سرا,فروش,قیام,,,,"‏۵,۰۰۰,۰۰۰,۰۰۰ تومان","‏۱۸,۶۵۶,۰۰۰ تومان",,۲۳ مرداد ۱۴۰۵، ۱۱:۳۵,https://divar.ir/v/ga-xsKdP
رهن اجاره آپارتمان خرمشهر ۹۱ متر ۴ سال ساخت,رهن و اجاره,شقایق,۹۱,۱۴۰۰,۲,,,۳,۲۳ مرداد ۱۴۰۵، ۱۱:۲۳,https://divar.ir/v/ga-h8aA3
فروش یک واحد در خیابان یحیا اباد,فروش,یحی آباد,۹۶,۱۴۰۴,۲,"‏۹,۶۰۰,۰۰۰,۰۰۰ تومان","‏۱۰۰,۰۰۰,۰۰۰ تومان",۱ از ۳,۲۳ مرداد ۱۴۰۵، ۱۱:۱۲,https://divar.ir/v/ga-ZMBGI
فروش خانه مشتمل بر محوطه ۹۱۸ متر زمین,فروش,لفمجان,,,,"‏۶,۵۰۰,۰۰۰,۰۰۰ تومان","‏۷,۰۸۰,۰۰۰ تومان",,۲۳ مرداد ۱۴۰۵، ۱۱:۰۷,https://divar.ir/v/ga-Vctcd
فروش ویلای ۲ طبقه مستقل در کتشال لاهیجان,فروش,لیل,۲۱۰,۱۴۰۰,+۴,"‏۵۰,۰۰۰,۰۰۰,۰۰۰ تومان","‏۵۰,۰۰۰,۰۰۰ تومان",,۲۳ تیر ۱۴۰۵، ۱۳:۳۴,https://divar.ir/v/gaWlQYx8
زمین ۳۳۰۰ متری,فروش,شقایق,,,,"‏۱۰,۵۰۰,۰۰۰,۰۰۰ تومان","‏۳,۱۸۱,۰۰۰ تومان",,۲۵ اردیبهشت ۱۴۰۵، ۱۳:۵۳,https://divar.ir/v/gaGg-u6M
فروش زمین داخل طرح با موقعیت عالی,فروش,لفمجان,,,,"‏۵,۰۰۰,۰۰۰,۰۰۰ تومان","‏۱,۴۲۸,۰۰۰ تومان",,۲۳ مرداد ۱۴۰۵، ۱۰:۴۵,https://divar.ir/v/ga-BMRjR
واحد ۶۴ متری دو خوابه طبقه ۲ از دو,فروش,شهرک فرهنگیان,۶۴,۱۳۹۱,۲,"‏۴,۷۰۰,۰۰۰,۰۰۰ تومان","‏۷۳,۴۳۷,۰۰۰ تومان",۲ از ۲,۲۳ مرداد ۱۴۰۵، ۰۹:۱۰,https://divar.ir/v/ga-larjg
فروش زمین ۸۴۵ مترمربع درروستای چلک .لوکیشن عالی,فروش,مهرگان,,,,"‏۳۲,۶۰۰,۰۰۰,۰۰۰ تومان","‏۳۸,۵۷۹,۰۰۰ تومان",,۲۵ تیر ۱۴۰۵، ۲۲:۰۸,https://divar.ir/v/gaZVyIYe
فروش زمین و خانه کلنگی,فروش,شهرک سلمان فارسی,,,,"‏۱۱,۲۲۰,۰۰۰,۰۰۰ تومان","‏۶۰,۰۰۰,۰۰۰ تومان",,۲۲ مرداد ۱۴۰۵، ۲۳:۳۲,https://divar.ir/v/ga-JyGq2
فروش دو خانه باهم 7800,فروش,طالقانی,۱۱۰,۱۳۸۸,۲,"‏۷,۸۰۰,۰۰۰,۰۰۰ تومان","‏۷۰,۹۰۹,۰۰۰ تومان",۱,۲۲ مرداد ۱۴۰۵، ۲۳:۲۸,https://divar.ir/v/ga-FiblN
واحد مستقل ۶۸متری یاسر ۶,فروش,لیالستان,۶۸,۱۳۹۴,۲,"‏۵,۵۰۰,۰۰۰,۰۰۰ تومان","‏۸۰,۸۸۲,۰۰۰ تومان",۱,۲۲ مرداد ۱۴۰۵، ۲۳:۱۷,https://divar.ir/v/ga-5xLnV
اجاره ویلا روستایی,اجاره,لفمجان,۹۰,۱۳۹۹,۲,,,,۲۲ مرداد ۱۴۰۵، ۲۲:۵۲,https://divar.ir/v/ga-hRwIj
۷۵ متر نوساز کلید نخورده _ لوکیشن وحدت ۱۸,فروش,بوجایه,۷۵,۱۴۰۵,۲,"‏۷,۹۰۰,۰۰۰,۰۰۰ تومان","‏۱۰۵,۳۳۳,۰۰۰ تومان",۱ از ۲,۱۹ خرداد ۱۴۰۵، ۱۱:۵۷,https://divar.ir/v/gan0c9BE
مغازه ۹۷ متری در بازارچه بوجایه لاهیجان,فروش,آهندان,۹۷,۱۳۹۲,۳,"‏۸,۵۰۰,۰۰۰,۰۰۰ تومان","‏۸۷,۶۲۸,۰۰۰ تومان",,۲۲ مرداد ۱۴۰۵، ۲۱:۵۰,https://divar.ir/v/ga-pAaoZ
فروش واحد ۵۷ متری در بهترین نقطه شهید بهشتی,فروش,قیام,۵۷,۱۳۸۸,۲,"‏۱۰,۶۰۰,۰۰۰,۰۰۰ تومان","‏۱۸۵,۹۶۴,۰۰۰ تومان",۱ از ۳,۲۲ مرداد ۱۴۰۵، ۲۱:۴۶,https://divar.ir/v/ga-lw17j
فروش تک واحدی_طبقه اول_خیابان هدایت,فروش,یوسف آباد,۸۰,۱۳۹۶,۲,"‏۹,۵۰۰,۰۰۰,۰۰۰ تومان","‏۱۱۸,۷۵۰,۰۰۰ تومان",۱ از ۳,۲۲ مرداد ۱۴۰۵، ۲۱:۰۸,https://divar.ir/v/ga-Bwsiu
آپارتمان 115متری خیابان اصلی بعثت,فروش,کوی خزر,۱۱۵,۱۴۰۵,۲,"‏۱۵,۹۵۰,۰۰۰,۰۰۰ تومان","‏۱۳۸,۶۹۵,۰۰۰ تومان",۱,۲۲ مرداد ۱۴۰۵، ۲۱:۰۴,https://divar.ir/v/ga-BQCm3
فروش واحد مستقل ۷۰ متری_خ نیما,فروش,رجایی,۷۰,۱۳۹۴,۲,"‏۱۱,۰۰۰,۰۰۰,۰۰۰ تومان","‏۱۵۷,۱۴۲,۰۰۰ تومان",۱,۲۲ مرداد ۱۴۰۵، ۲۰:۵۶,https://divar.ir/v/ga91_-iG
زمین مسکونی ۲۹۴ خوش قیمت,فروش,بازکیاگوراب,,,,"‏۳,۳۰۰,۰۰۰,۰۰۰ تومان","‏۱۱,۲۲۴,۰۰۰ تومان",,۲۴ تیر ۱۴۰۵، ۱۲:۴۱,https://divar.ir/v/gaX5kvcD
فروش واحد ۷۰ متر _ اوایل وحدت _ پارکینگ اختصاصی,فروش,کوی زمانی,۷۰,۱۴۰۰,۲,"‏۵,۸۰۰,۰۰۰,۰۰۰ تومان","‏۸۲,۸۵۷,۰۰۰ تومان",۱ از ۲,۲۸ تیر ۱۴۰۵، ۱۳:۱۲,https://divar.ir/v/gactppML
واحد ۱۱۱ متری با ورودی مستقل ، پارکینگ ،حیاط خلوت,فروش,گلستان,۱۱۱,۱۳۹۳,۲,"‏۹,۰۰۰,۰۰۰,۰۰۰ تومان","‏۸۱,۰۸۱,۰۰۰ تومان",همکف,۲۲ مرداد ۱۴۰۵، ۲۰:۰۹,https://divar.ir/v/ga9Jfk7D
۲ واحد ۱۰۰ متری مجزا,فروش,لیالستان,۲۰۰,۱۴۰۵,۴,"‏۱۵,۰۰۰,۰۰۰,۰۰۰ تومان","‏۶۵,۲۱۷,۰۰۰ تومان",,۲۲ مرداد ۱۴۰۵، ۱۹:۴۵,https://divar.ir/v/ga91ean9
آپارتمان ۱۱۵ متری کوی زمانی خ شهید جعفری,رهن کامل,کوی زمانی,۱۱۵,۱۳۹۴,۲,,,۲,۲۲ مرداد ۱۴۰۵، ۱۹:۲۱,https://divar.ir/v/ga9dOvIn
ویلا لاکچری لاهیجان,فروش,آهندان,۵۸۰,۱۴۰۰,+۴,"‏۲۵,۰۰۰,۰۰۰,۰۰۰ تومان","‏۲۰,۸۳۳,۰۰۰ تومان",,۲۰ مرداد ۱۴۰۵، ۱۱:۵۹,https://divar.ir/v/ga61NMOF
فروش دو  واحد ویلا وهر واحد دو خوابه مبله کامل,فروش,بازکیاگوراب,۲۰۰,۱۳۹۰,۴,"‏۱۶,۰۰۰,۰۰۰,۰۰۰ تومان","‏۲۹,۰۹۰,۰۰۰ تومان",,۲۲ مرداد ۱۴۰۵، ۱۸:۵۴,https://divar.ir/v/ga9FOijc
فروش یه زمین خوشگل و خوش موقعیت توی گلرودبار,فروش,بازکیاگوراب,,,,"‏۸,۸۲۰,۰۰۰,۰۰۰ تومان","‏۱۵,۰۰۰,۰۰۰ تومان",,۲۲ مرداد ۱۴۰۵، ۱۸:۵۳,https://divar.ir/v/ga9FOdKy
اجاره اپارتمان,رهن و اجاره,یوسف آباد,۶۰,۱۳۹۳,۱,,,۳ از ۳,۲۲ مرداد ۱۴۰۵، ۱۸:۳۳,https://divar.ir/v/ga9xNqHr
ویلا ۲۳۰ متر نخجیر,فروش,لیالستان,۲۰۰,۱۴۰۵,۳,"‏۲۳,۰۰۰,۰۰۰,۰۰۰ تومان","‏۱۰۰,۰۰۰,۰۰۰ تومان",,۲۲ مرداد ۱۴۰۵، ۱۸:۳۱,https://divar.ir/v/ga9xtCns
۷۵مترآپارتمان     ۲خواب      خ شهدا,رهن و اجاره,کوی آزادگان,۷۵,۱۴۰۰,۲,,,۲ از ۲,۲۲ مرداد ۱۴۰۵، ۱۸:۲۰,https://divar.ir/v/ga9ltt5j
اجاره سوییت مسکونی,رهن و اجاره,بازکیاگوراب,۳۰,۱۴۰۴,بدون اتاق,,,,۲۲ مرداد ۱۴۰۵، ۱۸:۱۷,https://divar.ir/v/ga9h97JN
ویلا سوئیت,رهن و اجاره,بازکیاگوراب,۲۰۰,۱۳۹۰,۴,,,,۲۲ مرداد ۱۴۰۵، ۱۸:۱۵,https://divar.ir/v/ga9htVr9
