عنوان,نوع معامله,محله,متراژ,سال ساخت,تعداد اتاق,قیمت کل,قیمت هر متر,طبقه,تاریخ انتشار,لینک
آپارتمان ۷۳ متری خمیر کلایه لاهیجان,فروش,خمیر کلایه,۷۳,۱۴۰۴,۲,"‏۸,۰۵۲,۰۰۰,۰۰۰ تومان","‏۱۱۰,۳۰۱,۰۰۰ تومان",۱ از ۳,۱۸ مرداد ۱۴۰۵، ۱۰:۲۳,https://divar.ir/v/ga4NC1fA
فروش یک قطعه زمین مسکونی در روستای کتشال,فروش,قیام,,,,"‏۳۹,۵۰۰,۰۰۰,۰۰۰ تومان","‏۴۴,۹۸۸,۰۰۰ تومان",,۱۴ مرداد ۱۴۰۵، ۱۳:۱۰,https://divar.ir/v/gazRQyKQ
4500 متر زمین در گلستان ... کاربری باغی ویو ابدی,فروش,گلستان,,,,"‏۳۲,۸۰۰,۰۰۰,۰۰۰ تومان","‏۷,۲۸۸,۰۰۰ تومان",,۴ شهریور ۱۴۰۵، ۱۱:۲۴,https://divar.ir/v/gaOupDIi
فروش زمین میدان گلستان,فروش,گلستان,,,,"‏۳۰,۰۰۰,۰۰۰,۰۰۰ تومان","‏۱۵۰,۰۰۰,۰۰۰ تومان",,۴ شهریور ۱۴۰۵، ۱۱:۲۴,https://divar.ir/v/gaOu5RYt
۲۱۶متر زمین با مجوز ساخت قیمت کاسبی,فروش,کاروانسرابر,,,,"‏۲,۰۰۰,۰۰۰,۰۰۰ تومان","‏۹,۲۵۹,۰۰۰ تومان",,۴ شهریور ۱۴۰۵، ۱۱:۲۳,https://divar.ir/v/gaOuZE-o
فروش زمین گلستان زوج نزدیک به میدان گلستان,فروش,گلستان,,,,"‏۱۴۳,۰۰۰,۰۰۰,۰۰۰ تومان","‏۱۳۰,۰۰۰,۰۰۰ تومان",,۴ شهریور ۱۴۰۵، ۱۱:۱۸,https://divar.ir/v/gaOmZEae
انباری مواد غذایی و...,رهن و اجاره,گلستان,۴۰,۱۴۰۵,بدون اتاق,,,,۴ شهریور ۱۴۰۵، ۱۱:۱۸,https://divar.ir/v/gaOeoKJU
زمین مسکونی,فروش,لفمجان,,,,"‏۲,۸۰۰,۰۰۰,۰۰۰ تومان","‏۷,۹۵۴,۰۰۰ تومان",,۳۱ خرداد ۱۴۰۵، ۰۸:۵۳,https://divar.ir/v/ga3QX05x
۵۰ متر ، واحد مستقل و تمیز,رهن کامل,کوی آزادگان,۵۰,۱۳۹۵,۱,,,همکف,۳ شهریور ۱۴۰۵، ۱۱:۴۸,https://divar.ir/v/gaN-kthp
312 متر زمین مسکونی دوبر در قصاب محله,فروش,لیالستان,,,,"‏۶,۲۴۰,۰۰۰,۰۰۰ تومان","‏۲۰,۰۰۰,۰۰۰ تومان",,۴ شهریور ۱۴۰۵، ۱۱:۱۰,https://divar.ir/v/gaOiJee-
